rank,genres,names,price,release,discription,players,peak_tody,images,imagehtml,,
16,Action,Tom Clancy's Rainbow Six_ Siege,19.99,2015-12-01,"Tom Clancy's Rainbow Six_ Siege is an elite, tactical team-based shooter where superior planning and execution triumph.",39070 ,52297 ,https://cdn.akamai.steamstatic.com/steam/apps/359550/header.jpg?t=1680010421,<img src='https://cdn.akamai.steamstatic.com/steam/apps/359550/header.jpg?t=1680010421'>,,
17,Action,ARK: Survival Evolved,19.99,2017-08-27,"Stranded on the shores of a mysterious island, you must learn to survive. Use your cunning to kill or tame the primeval creatures roaming the land, and encounter other players to survive, dominate... and escape!",36033 ,52441 ,https://cdn.akamai.steamstatic.com/steam/apps/346110/header.jpg?t=1669254188,<img src='https://cdn.akamai.steamstatic.com/steam/apps/346110/header.jpg?t=1669254188'>,,
18,Strategy,Sid Meier¡¯s Civilization_ VI,59.99,2016-10-21,"Civilization VI is the newest installment in the award winning Civilization Franchise. Expand your empire, advance your culture and go head-to-head against history¡¯s greatest leaders. Will your civilization stand the test of time?",34699 ,53398 ,https://cdn.akamai.steamstatic.com/steam/apps/289070/header.jpg?t=1680898825,<img src='https://cdn.akamai.steamstatic.com/steam/apps/289070/header.jpg?t=1680898825'>,,
19,Action,MIR4,Free To Play,2021-08-25,MIR4 is a free-to-play open world K-fantasy MMORPG that can be cross-played on both PC and mobile devices. MIR4 is full of action and features numerous large scale clan PVP battles. Join now and become a legend.,34566 ,36992 ,https://cdn.akamai.steamstatic.com/steam/apps/1623660/header.jpg?t=1659502391,<img src='https://cdn.akamai.steamstatic.com/steam/apps/1623660/header.jpg?t=1659502391'>,,
20,Action,Warframe ,Free To Play,2013-03-25,Awaken as an unstoppable warrior and battle alongside your friends in this story-driven free-to-play online action game,34078 ,54744 ,https://cdn.akamai.steamstatic.com/steam/apps/230410/header.jpg?t=1678904765,<img src='https://cdn.akamai.steamstatic.com/steam/apps/230410/header.jpg?t=1678904765'>,,
21,Action,DayZ ,44.99,2018-12-13,"How long can you survive a post-apocalyptic world? A land overrun with an infected ""zombie"" population, where you compete with other survivors for limited resources. Will you team up with strangers and stay strong together? Or play as a lone wolf to avoid betrayal? This is DayZ _ this is your story.",33804 ,49014 ,https://cdn.akamai.steamstatic.com/steam/apps/221100/header.jpg?t=1674143992,<img src='https://cdn.akamai.steamstatic.com/steam/apps/221100/header.jpg?t=1674143992'>,,
22,Action,Total War: WARHAMMER III,59.99,2022-02-17,"The cataclysmic conclusion to the Total War: WARHAMMER trilogy is here. Rally your forces and step into the Realm of Chaos, a dimension of mind-bending horror where the very fate of the world will be decided. Will you conquer your Daemonsÿ or command them?",33108 ,43990 ,https://cdn.akamai.steamstatic.com/steam/apps/1142710/header.jpg?t=1681400832,<img src='https://cdn.akamai.steamstatic.com/steam/apps/1142710/header.jpg?t=1681400832'>,,
23,Action,Rocket League_,,2015-07-07,"Rocket League is a high-powered hybrid of arcade-style soccer and vehicular mayhem with easy-to-understand controls and fluid, physics-driven competition.",32681 ,37599 ,https://cdn.akamai.steamstatic.com/steam/apps/252950/header.jpg?t=1678294071,<img src='https://cdn.akamai.steamstatic.com/steam/apps/252950/header.jpg?t=1678294071'>,,
24,Casual,Wallpaper Engine,3.99,2018-11-01,Use stunning live wallpapers on your desktop. Animate your own images to create new wallpapers or import videos/websites and share them on the Steam Workshop!,32554 ,94741 ,https://cdn.akamai.steamstatic.com/steam/apps/431960/header.jpg?t=1665921297,<img src='https://cdn.akamai.steamstatic.com/steam/apps/431960/header.jpg?t=1665921297'>,,
25,Action,Dead by Daylight,19.99,2016-06-14,"Dead by Daylight is a multiplayer (4vs1) horror game where one player takes on the role of the savage Killer, and the other four players play as Survivors, trying to escape the Killer and avoid being caught and killed.",31450 ,40593 ,https://cdn.akamai.steamstatic.com/steam/apps/381210/header.jpg?t=1681938397,<img src='https://cdn.akamai.steamstatic.com/steam/apps/381210/header.jpg?t=1681938397'>,,
